# Lego2STL colour cross-reference. Generated from the Rebrickable API; do not hand-edit.
# Regenerate with: lego2stl refresh-colors
# C lines are colours. M lines are the reverse map: scheme;code;rebrickable_id.
C;rebrickable_id;name;rgb;is_trans;bricklink_id;lego_id;ldraw_id;part_count
M;BrickLink;80;288
M;BrickLink;81;178
M;BrickLink;82;63
M;BrickLink;83;183
M;BrickLink;84;134
M;BrickLink;85;72
M;BrickLink;86;71
M;BrickLink;87;232
M;BrickLink;88;70
M;BrickLink;89;85
M;BrickLink;90;78
M;BrickLink;91;86
M;BrickLink;93;69
M;BrickLink;94;351
M;BrickLink;95;179
M;BrickLink;96;68
M;BrickLink;97;89
M;BrickLink;98;182
M;BrickLink;99;151
M;BrickLink;100;114
M;BrickLink;101;117
M;BrickLink;102;129
M;BrickLink;103;226
M;BrickLink;104;29
M;BrickLink;105;212
M;BrickLink;106;450
M;BrickLink;107;230
M;BrickLink;108;35
M;BrickLink;109;23
M;BrickLink;110;191
M;BrickLink;111;132
M;BrickLink;113;43
M;BrickLink;114;236
M;BrickLink;115;297
M;BrickLink;116;75
M;BrickLink;117;76
M;BrickLink;118;294
M;BrickLink;119;150
M;BrickLink;120;308
M;BrickLink;121;54
M;BrickLink;122;64
M;BrickLink;123;1013
M;BrickLink;124;1014
M;BrickLink;125;1015
M;BrickLink;126;1016
M;BrickLink;127;1017
M;BrickLink;128;1018
M;BrickLink;129;1023
M;BrickLink;130;1024
M;BrickLink;131;1019
M;BrickLink;132;1021
M;BrickLink;133;1022
M;BrickLink;134;1020
M;BrickLink;135;1025
M;BrickLink;136;1026
M;BrickLink;137;1027
M;BrickLink;138;1028
M;BrickLink;139;1029
M;BrickLink;140;1031
M;BrickLink;141;1030
M;BrickLink;142;1032
M;BrickLink;143;1034
M;BrickLink;144;1035
M;BrickLink;145;1036
M;BrickLink;146;1033
M;BrickLink;147;1037
M;BrickLink;148;1038
M;BrickLink;149;1039
M;BrickLink;150;84
M;BrickLink;151;133
M;BrickLink;152;323
M;BrickLink;153;321
M;BrickLink;154;31
M;BrickLink;155;326
M;BrickLink;156;322
M;BrickLink;157;30
M;BrickLink;158;158
M;BrickLink;159;1000
M;BrickLink;160;1012
M;BrickLink;161;1066
M;BrickLink;162;1003
M;BrickLink;163;1002
M;BrickLink;164;1004
M;BrickLink;165;1140
M;BrickLink;166;1141
M;BrickLink;167;1136
M;BrickLink;168;1138
M;BrickLink;169;1137
M;BrickLink;170;1139
M;BrickLink;171;1076
M;BrickLink;172;1091
M;BrickLink;173;1145
M;BrickLink;174;1147
M;BrickLink;175;1146
M;BrickLink;210;1040
M;BrickLink;211;1041
M;BrickLink;212;1042
M;BrickLink;213;1043
M;BrickLink;214;1044
M;BrickLink;215;1045
M;BrickLink;216;1046
M;BrickLink;217;1047
M;BrickLink;218;1048
M;BrickLink;219;1049
M;BrickLink;220;1050
M;BrickLink;221;1058
M;BrickLink;222;1052
M;BrickLink;223;1053
M;BrickLink;224;1054
M;BrickLink;225;1067
M;BrickLink;226;1057
